About,关于,
Accept Payment,接受支付,
Amount,金额,
Amount Based On Field,用量以现场,
Amount Field,金额字段,
Apps,应用,
Attributes,属性,
Button Help,按钮帮助,
Button Label,按钮标签,
Compact Item Print,紧凑型项目打印,
Company,公司,
Currency,货币,
Customer,客户,
Description,描述,
Frappe Support,Frappe支持,
HTML / Banner that will show on the top of product list.,HTML或横幅，将显示在产品列表的顶部。,
Is Billing Contact,帐单联络人,
Is Your Company Address,是你的公司地址,
Item Fields,项目字段,
Keyboard Shortcuts,键盘快捷键,
Log out,注销,
My Profile,我的档案,
My Settings,我的设置,
Payment Gateway,支付网关,
Payments,付款,
Print UOM after Quantity,数量后打印UOM,
Print taxes with zero amount,打印零金额的税,
Products,产品展示,
Reload,重新加载,
Route,路线,
Session Defaults,会话默认值,
Show in Website,在网站上显示,
Show this slideshow at the top of the page,在页面顶部显示此幻灯片,
Slideshow,幻灯片,
Tax Category,税种,
Title,标题,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
View Website,查看网站,
Website Settings,网站设置,
Website Specifications,网站规格,
Weightage,权重,
