Accept Payment,ຍອມຮັບການຊໍາລະເງິນ,
Amount,ຈໍານວນ,
Amount Based On Field,ຈໍານວນທີ່ກ່ຽວກັບພາກສະຫນາມ,
Amount Field,ຈໍານວນພາກສະຫນາມ,
Attributes,ຄຸນລັກສະນະ,
Button Help,ປຸ່ມ Help,
Button Label,ປຸ່ມ Label,
Compact Item Print,Compact Item Print,
Company,ບໍລິສັດ,
Currency,ສະກຸນເງິນ,
Customer,ລູກຄ້າ,
Description,ລາຍລະອຽດ,
HTML / Banner that will show on the top of product list.,HTML / ປ້າຍໂຄສະນາທີ່ຈະສະແດງໃຫ້ເຫັນກ່ຽວກັບການເທິງຂອງບັນຊີລາຍຊື່ຜະລິດຕະພັນ.,
Is Billing Contact,ແມ່ນຕິດຕໍ່ໃບບິນ,
Is Your Company Address,ທີ່ຢູ່ຂອງບໍລິສັດ,
Item Fields,ລາຍການລາຍການ,
Keyboard Shortcuts,ຄີບອດ,
Payment Gateway,Gateway ຊໍາລະເງິນ,
Payments,ການຊໍາລະເງິນ,
Print UOM after Quantity,ພິມ UOM ຫຼັງຈາກປະລິມານ,
Print taxes with zero amount,Print taxes with zero amount,
Products,ຜະລິດຕະພັນ,
Reload,ໂຫລດ,
Route,ເສັ້ນທາງ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Show in Website,ສະແດງໃນເວບໄຊທ໌,
Show this slideshow at the top of the page,ສະແດງໃຫ້ເຫັນ slideshow ນີ້ຢູ່ສົ້ນເທິງຂອງຫນ້າ,
Slideshow,slideshow,
Tax Category,ໝວດ ພາສີ,
Title,Title,
View Website,ເບິ່ງເວັບໄຊທ໌,
Website Settings,ການຕັ້ງຄ່າເວັບໄຊທ໌,
Website Specifications,ຂໍ້ມູນຈໍາເພາະເວັບໄຊທ໌,
Weightage,Weightage,
