Accept Payment,Приеми плащане,
Amount,Стойност,
Amount Based On Field,Сума на база на поле,
Amount Field,сума поле,
Attributes,Атрибути,
Button Help,Бутон Помощ,
Button Label,Текст на Бутон,
Compact Item Print,Компактен печат на елементи,
Company,Компания,
Currency,Валута,
Customer,клиент,
Description,Описание,
HTML / Banner that will show on the top of product list.,"HTML / банер, който ще се появи на върха на списъка с продукти.",
Is Billing Contact,Контакт за фактуриране,
Is Your Company Address,Вашата компания Адрес,
Item Fields,Полета на артикулите,
Keyboard Shortcuts,Комбинация от клавиши,
Payment Gateway,Портал за плащания,
Payments,Плащания,
Print UOM after Quantity,Отпечатайте UOM след Количество,
Print taxes with zero amount,Печатайте данъци с нулева сума,
Products,Продукти,
Reload,Презареди,
Route,маршрут,
Session Defaults,Сесия по подразбиране,
Show in Website,Показване в уебсайт,
Show this slideshow at the top of the page,Покажете слайдшоу в горната част на страницата,
Slideshow,Slideshow,
Tax Category,Данъчна категория,
Title,Заглавие,
View Website,Виж Website,
Website Settings,Настройки Сайт,
Website Specifications,Сайт Спецификации,
Weightage,Weightage,
