Accept Payment,ಪಾವತಿ ಸ್ವೀಕರಿಸಿ,
Amount,ಪ್ರಮಾಣ,
Amount Based On Field,ಪ್ರಮಾಣ ಫೀಲ್ಡ್ ರಂದು ಆಧರಿಸಿ,
Amount Field,ಪ್ರಮಾಣ ಫೀಲ್ಡ್,
Attributes,ಗುಣಲಕ್ಷಣಗಳು,
Button Help,ಬಟನ್ ಸಹಾಯ,
Button Label,ಬಟನ್ ಲೇಬಲ್,
Compact Item Print,ಕಾಂಪ್ಯಾಕ್ಟ್ ಐಟಂ ಪ್ರಿಂಟ್,
Company,ಕಂಪನಿ,
Currency,ಕರೆನ್ಸಿ,
Customer,ಗಿರಾಕಿ,
Description,ವಿವರಣೆ,
HTML / Banner that will show on the top of product list.,ಉತ್ಪನ್ನದ ಪಟ್ಟಿ ಮೇಲೆ ತೋರಿಸಿ thatwill ಎಚ್ಟಿಎಮ್ಎಲ್ / ಬ್ಯಾನರ್ .,
Is Billing Contact,ಬಿಲ್ಲಿಂಗ್ ಸಂಪರ್ಕ,
Is Your Company Address,ನಿಮ್ಮ ಕಂಪನಿ ವಿಳಾಸ,
Item Fields,ಐಟಂ ಕ್ಷೇತ್ರಗಳು,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Payment Gateway,ಪೇಮೆಂಟ್ ಗೇಟ್ ವೇ,
Payments,ಪಾವತಿಗಳು,
Print UOM after Quantity,ಪ್ರಮಾಣದ ನಂತರ UOM ಅನ್ನು ಮುದ್ರಿಸಿ,
Print taxes with zero amount,ಶೂನ್ಯ ಮೊತ್ತದೊಂದಿಗೆ ಪ್ರಿಂಟ್ ತೆರಿಗೆಗಳು,
Products,ಉತ್ಪನ್ನಗಳು,
Reload,ರೀಲೋಡ್,
Route,ಮಾರ್ಗ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Show in Website,ವೆಬ್‌ಸೈಟ್‌ನಲ್ಲಿ ತೋರಿಸಿ,
Show this slideshow at the top of the page,ಪುಟದ ಮೇಲಿರುವ ಈ ಸ್ಲೈಡ್ಶೋ ತೋರಿಸು,
Slideshow,ಸ್ಲೈಡ್ಶೋ,
Tax Category,ತೆರಿಗೆ ವರ್ಗ,
Title,ಶೀರ್ಷಿಕೆ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Website Settings,ಸೈಟ್ ಸೆಟ್ಟಿಂಗ್ಗಳು,
Website Specifications,ವೆಬ್ಸೈಟ್ ವಿಶೇಷಣಗಳು,
Weightage,weightage,
